Title,Author,Price,Rating,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Synopsis,URL
The Middle Passage,V.S. Naipaul,Rs. 798,N/A,Only 8 item left in stock!,N/A,Travel,272 Pages,250g,9780330522953,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:","This is the author's account of his journey in 1960 from London to his birthplace, the Caribbean island of Trinidad. He has recorded his impressions of Trinidad and former colonies in the West Indies and South America.",https://booksmandala.com/books/the-middle-passage-17503
Mustang,Mark Whittaker,Rs. 1995,N/A,Only 4 item left in stock!,N/A,Travel,N/A,830g,9789937577113,English,"Travel:, Travel:","A description of this book has not been provided by the author/publisher. However, Mustang is available for purchase at Books Mandala.",https://booksmandala.com/books/mustang-2504
Above the Clouds,Linda Wylie and,Rs. 798,N/A,N/A,N/A,Travel,239 Pages,340g,9780312291372,English,"History, Biography, and Social Science:, Travel:, History, Biography, and Social Science:, Travel:","When Anatoli Boukreev died on the slopes of Annapurna on Christmas day, 1997, the world lost one of the greatest adventurers of our time.In Above the Clouds, both the man and his incredible climbs on Mt. McKinley, K2, Makalu, Manaslu, and Everest-including his diary entries on the infamous 1996 disaster, written shortly after his return-are immortalized. There also are minute technical details about the skill of mountain climbing, as well as personal reflections on what life means to someone who risks it every day. Fully illustrated with gorgeous color photos, Above the Clouds is a unique and breathtaking look at the world from its most remote peaks.",https://booksmandala.com/books/above-the-clouds-25689
Nine Lives,William Dalrymple,Rs. 958,N/A,Only 7 item left in stock!,N/A,Travel,284 Pages,230g,9781408879818,English,"History, Biography, and Social Science:, History, Biography, and Social Science:","The product of a 25-year exploration of India’s cultural and religious traditions, this collection of biographies introduces the reader to nine unforgettable characters. They include a Buddhist monk who takes up arms to resist the Chinese invasion of Tibet and then spends the rest of his life trying to atone for the violence by hand printing the best prayer flags in India; a Jain nun who tests her powers of detachment as she watches her best friend ritually starve to death; and a devadasi, or temple prostitute, who resists her own initiation into sex work yet pushes both of her daughters into a trade she now regards as a sacred calling. This fascinating, visceral evocation of India delves deep into the heart of a nation torn between the relentless onslaught of modernity and the ancient traditions that endure to this day. El producto de una exploración de 25 años de las tradiciones culturales y religiosas de la India, esta colección de biografías le presenta al lector nueve personajes inolvidables. Incluyen un monje budista que empuña armas para resistir la invasión china del Tibet y que por el resto de su vida intenta expiar esa violencia estampando las mejores banderas de oración de la India; una monja jainista que pone a la prueba sus poderes de desapego mientras ve como su mejor amiga se priva de comida como ritual; y una devadasi—o prostituta templaria—que se resiste a su propia iniciación en las prestaciones sexuales, para luego empujar a sus hijas a un mundo que ahora considera como una vocación sagrada. Esta fascinante y visceral evocación de la India hurga en el corazón de una nación que debate entre la marcha inexorable de la modernidad y las tradiciones antiguas que siguen hasta el presente.",https://booksmandala.com/books/nine-lives-48885
The Time Keeper,Mitch Albom,Rs. 638,N/A,Only 4 item left in stock!,N/A,Travel,238 Pages,150g,9780751541182,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","Banished for centuries, as punishment for trying to measure time, the inventor of the world's first clock is finally granted his freedom, along with a mission: a chance to redeem himself by teaching two people the true meaning of time. He returns to our world and embarks on a journey with two unlikely partners: a teenage girl who is about to give up on life and a wealthy, ageing businessman who wants to live for ever. To save himself, he must save them both. Gripping, and filled with deep human truth, this unforgettable story will inspire readers everywhere to reconsider their own notions of time and just how precious it truly is.",https://booksmandala.com/books/the-time-keeper-50027
The Great Hedge of India,Roy Moxham,Rs. 638,N/A,Only 4 item left in stock!,N/A,Travel,240 Pages,190g,9781841194677,English,"History, Biography, and Social Science:, History, Biography, and Social Science:","""Remarkable"" and ""astonishing,"" says Jan Morris of Roy Moxham's account of his search for ""one of the least-known wonders of Queen Victoria's India,"" and John Keay finds it ""a compelling read, simply told, and simply wonderful."" An unquestionably fascinating tale, as well as a travel book and historical detective story, The Great Hedge of India begins in a secondhand bookshop on London's Charing Cross Road. There Roy Moxham buys the memoir of a nineteenth-century British colonial administrative officer, who makes a passing reference to a giant hedge planted by the British across the Indian subcontinent. That hedge--which for fifty years had been manned and cared for by 12,000 men and had run a length of 2,500 miles--becomes what Moxham calls his ""ridiculous obsession."" Recounting a journey that takes him to exotic isolated villages deep in the interior of India, Moxham chronicles his efforts to confirm the existence of the extraordinary, impenetrable green wall that had virtually disappeared from two nations' memories. Not only does he discover the shameful role the hedge played in the exploitative Raj and the famines of the late nineteenth century, but he also uncovers what remains of this British grand folly and restores to history what must be counted one of the world's wonders--and a monument to one of the great injustices of Victorian imperialism. ""Grandly entertaining ... close to being a perfect story of a fanciful quest.""--Boston Globe",https://booksmandala.com/books/the-great-hedge-of-india-49584
The Rough Guide to Nepal,"James Mcconnachie,",Rs. 500,N/A,N/A,N/A,Travel,452 Pages,450g,9781405390026,English,"Travel:, Travel:","The Rough Guide to Nepal is the most passionate and knowledgeable guidebook to this inspiring country. It offers an insider's guide to Kathmandu, from its Tantric temples to its lively bar scene. It details all the finest Himalayan treks, with practical, up-to-date and expert advice on when and where to go, and what to take. It covers all the National Parks, offering advice and information on everything from tracking wildlife to hiring elephants.Dedicated chapters are devoted to mountain biking, white water rafting, and other adventure sports, and there is unrivaled detail on Buddhism, Hinduism, and the many ethnic groups that make Nepal a unique destination. For ex-pats and visitors alike, the advice on health and cultural etiquette is second to none.The Rough Guide to Nepal also contains scores of detailed maps that have been checked by hand on the ground, covering everything from Pokhara and the Chitwan National Park to the Everest Base Camp trek. Make the most of your time withThe Rough Guide to Nepal.",https://booksmandala.com/books/the-rough-guide-to-nepal-38791
Holy Cow,Sarah Macdonald,Rs.  477 Rs.  795( 40% OFF),N/A,N/A,N/A,Travel,291 Pages,250g,9780767915748,English,"Fiction and Literature:, History, Biography, and Social Science:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:, History, Biography, and Social Science:","In her twenties, journalist Sarah Macdonald backpacked around India and came away with a lasting impression of heat, pollution and poverty. So when an airport beggar read her palm and told her she would return to India—and for love—she screamed, “Never!” and gave the country, and him, the finger. But eleven years later, the prophecy comes true. When the love of Sarah’s life is posted to India, she quits her dream job to move to the most polluted city on earth, New Delhi. For Sarah this seems like the ultimate sacrifice for love, and it almost kills her, literally. Just settled, she falls dangerously ill with double pneumonia, an experience that compels her to face some serious questions about her own fragile mortality and inner spiritual void. “I must find peace in the only place possible in India,” she concludes. “Within.” Thus begins her journey of discovery through India in search of the meaning of life and death. Holy Cow is Macdonald’s often hilarious chronicle of her adventures in a land of chaos and contradiction, of encounters with Hinduism, Islam and Jainism, Sufis, Sikhs, Parsis and Christians and a kaleidoscope of yogis, swamis and Bollywood stars. From spiritual retreats and crumbling nirvanas to war zones and New Delhi nightclubs, it is a journey that only a woman on a mission to save her soul, her love life—and her sanity—can survive.",https://booksmandala.com/books/holy-cow-25933
Leaving Microsoft to Change the World,John Wood,Rs. 632,N/A,Only 5 item left in stock!,N/A,Travel,266 Pages,360g,9789937551489,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Business and Investing:, History, Biography, and Social Science:, History, Biography, and Social Science:, Business and Investing:","John Wood discovered his passion, his greatest success, and his life's work—not at business school or leading Microsoft's charge into Asia in the 1990s—but on a soul-searching trip to the Himalayas. Wood felt trapped between an all-consuming career and a desire to do something lasting and significant. Stressed from the demands of his job, he took a vacation trekking in Nepal because a friend had told him, ""If you get high enough in the mountains, you can't hear Steve Ballmer yelling at you anymore."" Instead of being the antidote to the rat race, that trip convinced John Wood to divert the boundless energy he was devoting to Microsoft into a cause that desperately needed to be addressed. While visiting a remote Nepalese school, Wood learned that the students had few books in their library. When he offered to run a book drive to provide the school with books, his idea was met with polite skepticism. After all, no matter how well-intentioned, why would a successful software executive take valuable time out of his life and gather books for an impoverished school? But John Wood did return to that school and with thousands of books bundled on the back of a yak. And at that moment, Wood made the decision to walk away from Microsoft and create Room to Read—an organization that has donated more than 1.2 million books, established more than 2,600 libraries and 200 schools, and sent 1,700 girls to school on scholarship—ultimately touching the lives of 875,000 children with the lifelong gift of education. Leaving Microsoft to Change the World chronicles John Wood's struggle to find a meaningful outlet for his managerial talents and entrepreneurial zeal. For every high-achiever who has ever wondered what life might be like giving back, Wood offers a vivid, emotional, and absorbing tale of how to take the lessons learned at a hard-charging company like Microsoft and apply them to one of the world's most pressing problems: the lack of basic literacy.",https://booksmandala.com/books/leaving-microsoft-to-change-the-world-45324
Annapurna,Maurice Herzog,Rs. 958,N/A,N/A,N/A,Travel,272 Pages,235g,9780099541462,English,"History, Biography, and Social Science:, Travel:, History, Biography, and Social Science:, Travel:","""A classic of its kind... His vivid, high powered but never overdramatised account of the ascent still reads splendidly' The Irish Times In 1950, no mountain higher than 8,000 meters had ever been climbed. Maurice Herzog and other members of the French Alpine Club resolved to try. This is the enthralling story of the first conquest of Annapurna and the harrowing descent. With breathtaking courage and grit manifest on every page, Annapurna is one of the greatest adventure stories ever told. As well as an introduction by Joe Simpson, this new edition includes 16 pages of photographs, which provide a remarkable visual record of this legendary expedition.""",https://booksmandala.com/books/annapurna-47860
Lonely Planet India,"Abigail Blasi,",Rs. 4024,N/A,N/A,N/A,Travel,1248 Pages,995g,9781743216767,English,"Learning and Reference, Travel, Learning and Reference, Travel","#1 best-selling guide to India * Lonely Planet India is your passport to the most relevant, up-to-date advice on what to see and skip, and what hidden discoveries await you. Admire the perfect symmetry of the Taj Mahal, ride a camel through the moonlit desert or cruise the lush backwaters of Kerala; all with your trusted travel companion. Get to the heart of India and begin your journey now! Inside Lonely Planet's India Travel Guide: Colour maps and images throughout Highlights and itineraries help you tailor your trip to your personal needs and interests Insider tips to save time and money and get around like a local, avoiding crowds and trouble spots Essential info at your fingertips - hours of operation, phone numbers, websites, transit tips, prices Honest reviews for all budgets - eating, sleeping, sight-seeing, going out, shopping, hidden gems that most guidebooks miss Cultural insights give you a richer, more rewarding travel experience - temples, cuisine, history, art, Hinduism, architecture, politics, landscapes, wildlife, customs, volunteering, yoga, ashrams, trekking Over 199 colour maps Covers Delhi's bazaars, the Taj Mahal, Rajasthan's forts and deserts, Goa's beaches, Kerala's backwaters, Mumbai's colonial-era buildings, Darjeeling's tea plantations, Khajuraho's ancient temples, Himalayan monasteries and more The Perfect Choice: Lonely Planet India, our most comprehensive guide to India, is perfect for both exploring top sights and taking roads less travelled. Looking for just the highlights of India? Check out Discover India, a photo-rich guide to India's most popular attractions. Looking for a guide focused on Delhi, Agra, Rajasthan, Goa, Mumbai, South India or Kerala? Check out Lonely Planet's South India & Kerala guide, Rajasthan, Delhi & Agra guide, or Goa & Mumbai guide for a comprehensive look at all that these regions have to offer. Authors: Written and researched by Lonely Planet. About Lonely Planet: Since 1973, Lonely Planet has become the world's leading travel media company with guidebooks to every destination, an award-winning website, mobile and digital travel products, and a dedicated traveller community. Lonely Planet covers must-see spots but also enables curious travellers to get off beaten paths to understand more of the culture of the places in which they find themselves.",https://booksmandala.com/books/lonely-planet-india-38659
Traveling with Che Guevara,Alberto Granado,Rs. 560,N/A,Only 7 item left in stock!,N/A,Travel,215 Pages,305g,9781557046390,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:","Published for the first time in the U.S.one of the two diaries on which the movie The Motorcycle Diaries is basedthe moving and at times hilarious account of Che Guevara and Alberto Granado's eight-month tour of South America in 1952. In 1952 Alberto Granado, a young doctor, and his friend Ernesto Guevara, a 23-year-old medical student from a distinguished Buenos Aires family, decided to explore their continent. They set off from Cordoba in Argentina on a Norton 500cc motorbike and traveled through Chile, Peru, Colombia, and Venezuela. The duo's adventures vary from the suspenseful (stowing away on a cargo ship, exploring Incan ruins) to the comedic (falling in love, drinking, fighting...) to the serious (volunteering as firemen and at a leper colony). They worked as day laborers along the wayas soccer coaches, medical assistants, and furniture movers. The poverty and exploitation of the native population started the process that was to turn Ernestothe debonair, fun-loving studentinto Che, the revolutionary who had a profound impact on the history of several nations. Originally published in Spanish in Cuba in 1978, the first English translation was published by Random House UK in 2003. The movie, based on Granado's and Che's diaries, directed by Walter Salles (Central Station, Behind the Sun), was produced by Robert Redford and others. Shown at the Sundance Film Festival, it generated great reviews and a frenzied auction for distribution rights, which was won by Focus Features. Granado, now 82, was a consultant to Salles during the production. 10 b/w photos.",https://booksmandala.com/books/traveling-with-che-guevara-40067
HIMALAYA The secret of the golden tara,Dieter Glogowski,Rs. 1760,N/A,N/A,N/A,Travel,191 Pages,1620g,9783765816345,English,"Religion:, Travel:, Travel:, Religion:, Travel:, Travel:","The quest for a lost goddess. --Unusual insights into the world of Tibetan Buddhism. --Enthralling, spiritual, and informative. --Extraordinarily spellbinding photographs. It all started with a letter from Ladakh: an old monk asked his friend Dieter Glogowski to locate the Golden Tara, the gilded statue of a goddess important in Tibetan Buddhism and which had been lost during the Chinese Cultural Revolution. Glogowski accepted the challenge and set off on an adventure that would take him from Tibet to Bhutan, Sikkim and Kailash. The long sojourn also became an inner journey. The author's vivid account and fascinating photographs guide us on this exciting quest to uncover the secret of the Golden Tara.",https://booksmandala.com/books/himalaya-the-secret-of-the-golden-tara-2575
An Introduction to Basic Nepali Language,Sushila Shrestha,Rs. 600,N/A,N/A,N/A,Travel,148 Pages,260g,9789994631964,English,"Travel:, Travel:","A description of this book has not been provided by the author/publisher. However, An Introduction to Basic Nepali Language is available for purchase at Books Mandala.",https://booksmandala.com/books/an-introduction-to-basic-nepali-language-27406
In the shadow of everest,Robert Weiss,Rs. 1250,N/A,Only 6 item left in stock!,N/A,Travel,127 Pages,660g,9789937577939,English,"Travel:, Travel:","Paperback. Condition: LikeNew. All orders ship by next business day! This is a paperback book. Book may have wear due to handling. Book has no markings on pages. For USED books, we cannot guaranteed supplemental materials such as CDs, DVDs, access codes and other materials. We are a small company and very thankful for your business!. Seller Inventory # 4CNIOD000UYN",https://booksmandala.com/books/in-the-shadow-of-everest-2366
The Rough Guide to Nepal,Rough Guides,Rs. 1598,N/A,N/A,N/A,Travel,448 Pages,430g,9780241308813,English,"Travel:, Travel:","Discover this exciting destination with the most incisive and entertaining guidebook on the market. Whether you plan to trek in the spectacular Himalaya region, take a boat ride on Phewa Lake in Pokhara or get up close and personal with rhinos at Chitwan National Park, The Rough Guide to Nepal will show you the ideal places to sleep, eat, drink and shop along the way. Inside The Rough Guide to Nepal - Independent, trusted reviews written with Rough Guides' trademark blend of humour, honesty and insight, to help you get the most out of your visit, with options to suit every budget. - Full-colour maps throughout - navigate Kathmandu's backstreets or Nepal's trekking regions without needing to get online. - Stunning, inspirational images - Itineraries - carefully planned routes to help you organise your trip. - Detailed regional coverage - whether off the beaten track or in more mainstream tourist destinations, this travel guide has in-depth practical advice for every step of the way, including recent information on Nepal's recovery since the 2015 earthquake. Areas covered include: Kathmandu; Patan; Bhaktapur; Nagarkot; Pokhara; Ghorka; Manakamana; Bandipur; Janakpur; Mustang; the Terai; Annapurna and Everest regions. Attractions include: Chitwan National Park; Bardia National Park; Boudha; Lumbini; Phewa Tal; whitewater rafting; trekking; cycling; meditation and yoga retreats. - Basics - essential pre-departure practical information including getting there, local transport, accommodation, food and drink, festivals, health, culture and etiquette, spiritual pursuits and alternative therapies, and more. - Background information - a Contexts chapter devoted to history, the people of Nepal, religion, development dilemmas, wildlife and books, plus a handy language section and glossary. Make the Most of Your Time on Earth with the Rough Guide to Nepal",https://booksmandala.com/books/the-rough-guide-to-nepal-43297
No Full Stops in India,Mark Tully,Rs. 560,N/A,N/A,N/A,Travel,336 Pages,370g,9780140104806,English,"Miscellaneous:, History, Biography, and Social Science:, History, Biography, and Social Science:, Miscellaneous:, History, Biography, and Social Science:, History, Biography, and Social Science:","India�s Westernized elite, cut off from local traditions, �want to write a full stop in a land where there are no full stops�. From that striking insight Mark Tully has woven a superb series of �stories� which explore Calcutta, from the Kumbh Mela in Allahabad (probably the biggest religious festival in the world) to the televising of a Hindu epic. Throughout, he combines analysis of major issues with a feel for the fine texture and human realities of Indian life. The result is a revelation. 'The ten essays, written with clarity, warmth of feeling and critical balance and understanding, provide as lively a view as one can hope for of the panorama of India.� K. Natwar-Singh in the Financial Times",https://booksmandala.com/books/no-full-stops-in-india-9774
Among the Believers,V.S. Naipaul,Rs. 1278,N/A,Only 6 item left in stock!,N/A,Travel,495 Pages,435g,9780330522823,English,"Religion:, History, Biography, and Social Science:, Religion:, History, Biography, and Social Science:","V.S. Naipaul travelled extensively throughout Iran, Pakistan, Malaysia and Indonesia meeting true believers of Islam on the way. This travel book offers a unique insight into Islam by the winner of the 2001 Nobel prize for literature.""",https://booksmandala.com/books/among-the-believers-16094
Travels of Marco Polo,Marco Polo,Rs. 560,N/A,Only 4 item left in stock!,N/A,Travel,297 Pages,210g,9780451529510,English,"Fiction and Literature:, History, Biography, and Social Science:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:, History, Biography, and Social Science:","His journey through the East began in 1271—when, still a teenager, he set out of Venice and found himself traversing the most exotic countries. His acceptance into the court of the great emperor Kublai Khan, and his service to the vast and dazzling Mongol empire, led him to places as far away as Tibet and Burma, lands rich with gems and gold and silk, but virtually unknown to Europeans. Later, as a prisoner of war, Marco Polo would record the details of his remarkable travels across harsh deserts, great mountain ranges, and dangerous seas, as well as of his encounters with beasts and birds, plants and people. His amazing chronicle is both fascinating and awe-inspiring—and still serves as the most vivid depiction of the mysterious East in the Middle Ages. Edited and with an Introduction by Milton Rugoff and an Afterword by Howard Mittelmark",https://booksmandala.com/books/travels-of-marco-polo-70744
Karma Cola,Gita Mehta,Rs. 320,N/A,N/A,N/A,Travel,193 Pages,240g,9780140236835,English,"Miscellaneous:, History, Biography, and Social Science:, History, Biography, and Social Science:, Miscellaneous:, History, Biography, and Social Science:, History, Biography, and Social Science:","Beginning in the late '60s, hundreds of thousands of Westerners descended upon India, disciples of a cultural revolution that proclaimed that the magic and mystery missing from their lives was to be found in the East. An Indian writer who has also lived in England and the United States, Gita Mehta was ideally placed to observe the spectacle of European and American ""pilgrims"" interacting with their hosts. When she finally recorded her razor sharp observations in Karma Cola, the book became an instant classic for describing, in merciless detail, what happens when the traditions of an ancient and longlived society are turned into commodities and sold to those who don't understand them. In the dazzling prose that has become her trademark, Mehta skewers the entire Spectrum of seekers: The Beatles, homeless students, Hollywood rich kids in detox, British guilt-trippers, and more. In doing so, she also reveals the devastating byproducts that the Westerners brought to the villages of rural lndia -- high anxiety and drug addiction among them. Brilliantly irreverent, Karma Cola displays Gita Mehta's gift for weaving old and new, common and bizarre, history and current events into a seamless and colorful narrative that is at once witty, shocking, and poignant.",https://booksmandala.com/books/karma-cola-24567
May You be the Mother of a Hundred sons,Elisabeth Bumiller,Rs. 400,N/A,N/A,N/A,Travel,306 Pages,345g,9780140156713,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:","A Journey Among The Women Of India In This Travelogue, Washington Post Reporter In India Elisabeth Bumiller, Goes To Most Parts Of India Examining The Realities Of The Lives Of Indian Women: Villagers, Movie-Stars, Intellectuals, Police-Women And Others.",https://booksmandala.com/books/may-you-be-the-mother-of-a-hundred-sons-26989
Caravan to Tibet,Deepa Agarwal and,Rs. 280,N/A,N/A,N/A,Travel,171 Pages,170g,9780143330127,English,"History, Biography, and Social Science:, Miscellaneous:, History, Biography, and Social Science:, Miscellaneous:","The Thud Of Hooves Hammered At Debu S Ear, The Swishing Of Whips, The Shrill Exclamations Of The Boys Goading Their Steeds On. Slowly, Steadily, They Left One Horse Behind, Then Another, Then Another. In The Last Years Of The Nineteenth Century, A Caravan Of Traders Sets Off From The High Hills Of Kumaon, India, For Tibet. They Traverse Dangerous Passes And Brave Blinding Snowstorms, In Order To Carry On Their Traditional Trade In The Tibetan Markets. Among Them Is Fourteen-Year-Old Debu S Father. Many Days Later, When The Caravan Returns, Debu Is Heartbroken To Learn That His Father Was Lost In One Of The Treacherous Passes. Somehow He Cannot Believe It, And When A Tibetan Trader Turns Up In The Local Market Wearing An Amulet Remarkably Similar To His Father S, He Is Convinced That His Father Is Alive, Somewhere In Tibet.Debu Joins The Next Caravan To Tibet To Look For His Father, Little Knowing He Is Setting Out On The Most Perilous, Yet Most Exciting Journey Of His Life. The Adventures Follow Thick And Fast A Forced Stay In A Monastery With A Young Lama Who Takes A Fancy To Him; His Capture By A Band Of Bandits Led By The Cruel, Mysterious Nangbo Gifted With Magical Powers; A Stay In The Goldfields Of Thok Jalong; And Finally Ending With A Heart-Pounding, Breathtaking Horse Race.An Action-Packed Adventure Story, Caravan To Tibet Teems With Memorable Characters And Fine Descriptions Of Life In The Himalayan Kingdoms Of Kumaon And Tibet At The Turn Of The Nineteenth Century.",https://booksmandala.com/books/caravan-to-tibet-25813
The Sacred Mountain,Dalai Lama Xiv Bstan-ʼDzin-Rgya-Mtsho and,Rs. 1592,N/A,N/A,N/A,Travel,457 Pages,970g,9788120831520,English,"Travel:, Arts and Photography:, Travel:, Arts and Photography:",(4) Truth of the path leading to the annihilation of suffering.,https://booksmandala.com/books/the-sacred-mountain-25767
Seven Years in Tibet,Heinrich Harrer,Rs. 798,N/A,N/A,N/A,Travel,288 Pages,260g,9780586087077,English,"Travel, Travel","Heinrich Harrer, already a famous mountaineer and Olympic ski champion, was caught by the outbreak of the Second World War while climbing in the Himalayas. An Austrian national, he was imprisoned by the British in India. By an almost super-human effort, on his third attempt he succeeded in escaping from the internment camp and fled into Tibet. After a series of remarkable experiences in a country never crossed before by a Westerner, Harrer reached the forbidden city of Lhasa. He stayed there for seven years, learned the language and acquired a greater understanding of Tibet and the Tibetans than any Westerner had ever before achieved. He became the friend and tutor of the young Dalai Lama and finally accompanied him into India when he was put to flight by the Red Chinese invasion. Made into a successful motion picture starring Brad Pitt, this is a stunning story of incredible courage and self-reliance set against the backdrop of a mysterious and magnificent culture.",https://booksmandala.com/books/seven-years-in-tibet-26143
The Two-Year Mountain,Phil Deutschle,Rs. 480,N/A,N/A,N/A,Travel,350 Pages,290g,9788193071069,English,"Travel:, Travel:, Travel:, Travel:","Combining adventure story, travel log, and personal confession, this absorbing account describes a wrenching experience that belies the idealistic expectations of many Peace Corps volunteers. Following a stint as a volunteer teacher in a Nepalese village, Phil Deutschle sets off alone on an expedition to conquer Pharchamo, 20,580 feet high, which has claimed several lives. This trek forms the framework of the book, and into it Deutschle weaves the story of his experiences in sharply etched, swiftly moving, often humorous anecdotes.",https://booksmandala.com/books/the-two-year-mountain-10658
Tents in the Clouds,Monica Jackson and,Rs. 700,N/A,Only 9 item left in stock!,N/A,Travel,255 Pages,390g,9781580050333,English,"Fiction and Literature:, Travel:, Fiction and Literature:, Travel:","Going where no one had gone before, In 1955, Monica Jackson, Elizabeth Stark and Evelyn Camrass undertook the first all women’s expedition in the Himalayas. The three women pooled their resources, sailed to India, flew to Kathmandu, and trekked the remote Jugal Himal, a far-flung, hitherto unexplored region of the Himalaya. Written over 40 years ago, this book documents this unprecedented adventure. Part travel journal and part historical account, it's a lively story of the expedition's achievements. Theirs was the first ascent of an unknown peak over 22,000 feet; and as they crossed daunting passes and pristine valleys, they investigated the flora and fauna and corrected maps of one of the least accessible areas of the world.",https://booksmandala.com/books/tents-in-the-clouds-25692
Journey Across Tibet,Sorrel Wilby,Rs. 624,N/A,Only 8 item left in stock!,N/A,Travel,236 Pages,325g,9781580050531,English,"History, Biography, and Social Science:, Miscellaneous:, History, Biography, and Social Science:, Miscellaneous:","In this inspiring story by a woman ""who has few equals, on the trail or on the printed page"" (National Geographic), Sorrel Wilby hikes 1,900 miles across Tibet alone. When she befriends some Tibetan nomads, her trek quickly evolves from a daredevil adventure to a journey of self-discovery and personal revelation.",https://booksmandala.com/books/journey-across-tibet-25851
Snowboarding to Nirvana,Frederick Lenz,Rs. 400,N/A,N/A,N/A,Travel,240 Pages,240g,9780312181796,English,"Business and Investing:, Spirituality and Philosophy:, Travel:, Business and Investing:, Spirituality and Philosophy:, Travel:","As our snowboarder continues his lessons of enlightenment with Master Fwap, he also encounters earthly love in the form of a beautiful and wise Danish woman. A paradox ensues and a mystery is set forth, the mystery of ""the missing dimension."" This mystery must be understood and solved before our snowboarder can comprehend the next levels of Buddhistic lessons. Along the way, a wise, mysterious oracle of Nepal introduces our hero to Tibetan tantric texts that become crucial in the solving of his riddle. Snowboarding once again becomes the metaphor for maneuvering one's self through the trials and tribulations of real life. By learning to concentrate, meditate, and understand, the sport of life can easily be mastered.",https://booksmandala.com/books/snowboarding-to-nirvana-25774
A glimpse of eternal snows,Jane Wilson-Howarth,Rs. 480,N/A,N/A,N/A,Travel,380 Pages,310g,9788193071076,English,"History, Biography, and Social Science:, History, Biography, and Social Science:","Set against the backdrop of one of the most colourful countries in the world, A Glimpse of Eternal Snows is an inspiring story of courage, love and a family’s determination to give their child the best life possible. In pulsating, polluted Kathmandu and an idyllic village at the foot of the Himalayas, ‘Doctor Jane’ and her engineer husband Simon hope to make a difference: Jane to fulfil her vision to heal and advocate for the poor, Simon to avert the floods that threaten to devastate the country every monsoon season. The Nepali people are accepting of whatever fate flings at them and here the family find sanity, compassion and joy with baby David, who in England was little more than an ‘interesting case’. This is a tale of Himalayan highs and monsoon lows, of cultural complexities, unexpected wildlife and rugged terrain, of vivid colour, superstition and spicy smells.",https://booksmandala.com/books/a-glimpse-of-eternal-snows-25924
The Conquest of Everest,George Lowe and,Rs. 3000,N/A,N/A,N/A,Travel,239 Pages,1500g,9780500544235,English,"Arts and Photography:, Arts and Photography:, Nepali:, Arts and Photography:, Arts and Photography:, Nepali:","Published to mark the sixtieth anniversary of the conquest of Mount Everest, this visually spectacular book features a trove of original photographs and other rare materials from the George Lowe collection, many unpublished, complemented by classic images from the final ascent. Stunning landscapes, candid portraits, and action shots describe the day-by-day moments of the historic expedition as never before.The extraordinary journey is retold from Lowe's point of view, capturing the drama of the expedition and the personal stories of those involved. In addition, earlier attempts at climbing the world's highest mountain and key later ascents are described. The book also includes contributions from an impressive team of mountaineers and explorers, including Reinhold Messner, Sir Chris Bonington, the late Sir Edmund Hillary, Peter Hillary, Doug Scott, Stephen Venables, Norbu Tenzing Norgay, Tom Hornbein, Kenton Cool, and Jan Morris.Not only the anniversary of the first successful ascent, 2013 also marks fifty years since the first American ascent and the epic first ascent of the West Ridge.",https://booksmandala.com/books/the-conquest-of-everest-31314
Touching the Void,Joe Simpson,Rs. 798,N/A,Only 8 item left in stock!,N/A,Travel,224 Pages,210g,9780060730550,English,"Fiction and Literature:, History, Biography, and Social Science:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:, History, Biography, and Social Science:","Joe Simpson and his climbing partner, Simon Yates, had just reached the top of a 21,000-foot peak in the Andes when disaster struck. Simpson plunged off the vertical face of an ice ledge, breaking his leg. In the hours that followed, darkness fell and a blizzard raged as Yates tried to lower his friend to safety. Finally, Yates was forced to cut the rope, moments before he would have been pulled to his own death. The next three days were an impossibly grueling ordeal for both men. Yates, certain that Simpson was dead, returned to base camp consumed with grief and guilt over abandoning him. Miraculously, Simpson had survived the fall, but crippled, starving, and severely frostbitten was trapped in a deep crevasse. Summoning vast reserves of physical and spiritual strength, Simpson crawled over the cliffs and canyons of the Andes, reaching base camp hours before Yates had planned to leave. How both men overcame the torments of those harrowing days is an epic tale of fear, suffering, and survival, and a poignant testament to unshakable courage and friendship.",https://booksmandala.com/books/touching-the-void-25775
