Title,Author,Price,Rating,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,URL
The Opening OF The Wisdom -Eye,H.H The Dalai Lama,Rs. 200,N/A,Religion,178 Pages,245g,b1459,English,"Religion:, Religion:",https://booksmandala.com/books/the-opening-of-the-wisdom-eye-5951
Chicken Soup for the Soul Moms and Sons,Jack Canfield and ,Rs. 472,N/A,Religion,372 Pages,375g,9789380283715,English,"Self Improvement and Relationships:, Religion:, Self Improvement and Relationships:, Religion:",https://booksmandala.com/books/chicken-soup-for-the-soul-moms-and-sons-39903
Vulture peak,John Burdett,Rs. 560,N/A,Religion,368 Pages,310g,9781472100986,English,"Fiction and Literature:, History, Biography, and Social Science:, Religion:, Fiction and Literature:, History, Biography, and Social Science:, Religion:",https://booksmandala.com/books/vulture-peak-5901
The buddha and his message,Ven. Bhikku Bodhi,Rs. 104,N/A,Religion,30 Pages,55g,b6,English,"Religion:, Religion:",https://booksmandala.com/books/the-buddha-and-his-message-3168
First Under Heaven the art of Asia,Jill Tilden,Rs. 3692,N/A,Religion,223 Pages,1730g,9781898113355,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/first-under-heaven-the-art-of-asia-35264
Retreat Into Eternity,Swami Amar Jyoti,Rs. 880,N/A,Religion,127 Pages,600g,9780933572140,English,"Religion, Religion",https://booksmandala.com/books/retreat-into-eternity-2435
Original and developed doctrin,Ryukan Kimura,Rs. 238,N/A,Religion,73 Pages,180g,9788177690873,English,"Religion:, Religion:",https://booksmandala.com/books/original-and-developed-doctrin-26665
Saraswati,Prrem Nath and ,Rs. 120,N/A,Religion,89 Pages,170g,9788124201558,English,"Religion, Religion",https://booksmandala.com/books/saraswati-26469
The Third Jesus,Chopra Deepak,Rs. 798,N/A,Religion,241 Pages,190g,9781846041129,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/the-third-jesus-27767
Tales for Transforming Adversity,Khenpo Sodargye,Rs. 1440,N/A,Religion,224 Pages,355g,9781614292555,English,"Religion:, Religion:",https://booksmandala.com/books/tales-for-transforming-adversity-36911
Picturesque Nepal,Percy Brown,Rs. 1112,N/A,Religion,138 Pages,400g,9788170264019,English,"Religion:, Nepali:, Religion:, Nepali:",https://booksmandala.com/books/picturesque-nepal-18353
Yudhisthira the unfallen pandava,Mallar Chatterjee,Rs. 472,N/A,Religion,398 Pages,240g,9789385854415,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:",https://booksmandala.com/books/yudhisthira-the-unfallen-pandava-43575
TIBET AN INNER JOURNEY,Matthieu Ricard,Rs. 952,N/A,Religion,N/A,1620g,9780500543320,English,"Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/tibet-an-inner-journey-44328
sai the age of cosmic family,Sudarshan,Rs. 128,N/A,Religion,167 Pages,215g,9798190191257,English,"Religion, Religion",https://booksmandala.com/books/sai-the-age-of-cosmic-family-26634
The book of Hindu festivals and ceremonies,Om Lata Bahadur,Rs. 120,N/A,Religion,177 Pages,225g,9788186112236,English,"Religion, Religion",https://booksmandala.com/books/the-book-of-hindu-festivals-and-ceremonies-26310
Wisdom's blossoms Tales of the saints of India,Doug Glener and ,Rs. 460,N/A,Religion,194 Pages,260g,9781570628849,English,"Religion:, Religion:",https://booksmandala.com/books/wisdoms-blossoms-tales-of-the-saints-of-india-23739
"Hindu manners,customs and ceremonies (Small)",Prrem Nath and ,Rs. 136,N/A,Religion,190 Pages,455g,9788124201633,English,"Religion, Religion",https://booksmandala.com/books/hindu-mannerscustoms-and-ceremonies-small-26196
Swami Kriyananda as we have known him,Asha Praver,Rs. 400,N/A,Religion,455 Pages,630g,9788189430184,English,"Religion, Religion",https://booksmandala.com/books/swami-kriyananda-as-we-have-known-him-6531
Buddhism,Diane Sutherland and ,Rs. 632,N/A,Religion,384 Pages,700g,9781844515189,English,"Religion:, Religion:",https://booksmandala.com/books/buddhism-26202
The Future is Open,Chogyam Trungpa,Rs. 760,N/A,Religion,182 Pages,190g,9781569570807,English,"Religion:, Religion:",https://booksmandala.com/books/the-future-is-open-15685
A mind of your own,Kelly Brogan,Rs. 638,N/A,Self Improvement And Relationships,320 Pages,630g,9780008128005,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Lifestyle and Wellness:, Self Improvement and Relationships:, History, Biography, and Social Science:, Lifestyle and Wellness:",https://booksmandala.com/books/a-mind-of-your-own-43025
It only takes everything you've got,Julo Melara,Rs. 280,N/A,Self Improvement And Relationships,128 Pages,175g,b1487,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/it-only-takes-everything-youve-got-5503
Perspective on current affair 2014,Empowering Tomorrow'S Leaders,Rs. 400,N/A,Self Improvement And Relationships,357 Pages,310g,9788181581990,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/perspective-on-current-affair-2014-27560
Six Frames,Edward De Bono,Rs. 472,N/A,Self Improvement And Relationships,144 Pages,190g,9780091924195,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/six-frames-37515
Inspiring Courage,Barbara Brenner,Rs. 1440,N/A,Self Improvement And Relationships,240 Pages,475g,9781614292616,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/inspiring-courage-36953
Communicating Through Newsletters,Pamela Brooks,Rs. 160,N/A,Self Improvement And Relationships,102 Pages,175g,9788179290958,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/communicating-through-newsletters-39711
How Compatible Are You ?,Allan + Barbara Pease,Rs. 318,N/A,Self Improvement And Relationships,142 Pages,160g,9788183224833,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/how-compatible-are-you-2222
The South Beach Diet,Dr. Arthur Agatston,Rs. 374,N/A,Self Improvement And Relationships,342 Pages,190g,9780755314164,English,"Self Improvement and Relationships:, Lifestyle and Wellness:, Self Improvement and Relationships:, Lifestyle and Wellness:",https://booksmandala.com/books/the-south-beach-diet-26810
In search of European excellence,Robert Heller,Rs. 472,N/A,Self Improvement And Relationships,276 Pages,340g,9781861975287,English,"Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/in-search-of-european-excellence-23802
Shake That Brain,Joel Saltzan,Rs. 576,N/A,Self Improvement And Relationships,224 Pages,305g,9788126522002,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/shake-that-brain-5916
Nine Ways to Walk Around a Boulder,Juliet Erickson,Rs. 472,N/A,Self Improvement And Relationships,208 Pages,245g,9781856267267,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/nine-ways-to-walk-around-a-boulder-39699
Growing an Engaged Church,Albert L. Winseman,Rs. 900,N/A,Self Improvement And Relationships,178 Pages,390g,9781595620149,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/growing-an-engaged-church-43469
100 Military Inventions,Rod Green,Rs. 638,N/A,Self Improvement And Relationships,282 Pages,245g,9781472106650,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/100-military-inventions-10714
Chicken Soup for the Soul Moms and Sons,Jack Canfield and ,Rs. 472,N/A,Self Improvement And Relationships,372 Pages,375g,9789380283715,English,"Self Improvement and Relationships:, Religion:, Self Improvement and Relationships:, Religion:",https://booksmandala.com/books/chicken-soup-for-the-soul-moms-and-sons-39903
Resolve Conflicts in Your Life,Dale Carnegie,Rs. 318,N/A,Self Improvement And Relationships,167 Pages,165g,9789387383500,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/resolve-conflicts-in-your-life-5243
Skill With People,Les Giblin,Rs. 80,N/A,Self Improvement And Relationships,47 Pages,55g,9788188452163,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/skill-with-people-4522
Gross America,Richard Faulk,Rs. 958,N/A,Self Improvement And Relationships,262 Pages,270g,9781585429417,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/gross-america-48731
10 Billion,Stephen Emmott,Rs. 560,N/A,Self Improvement And Relationships,198 Pages,170g,9780141976327,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/10-billion-5543
The Four Tendencies,Gretchen Rubin,Rs. 638,N/A,Self Improvement And Relationships,258 Pages,210g,9781473676442,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/the-four-tendencies-29117
Revelation and The Book of Job,Great Idea,Rs. 318,N/A,Self Improvement And Relationships,125 Pages,100g,9780141023854,English,"Self Improvement and Relationships:, Spirituality and Philosophy:, Religion:, Self Improvement and Relationships:, Spirituality and Philosophy:, Religion:",https://booksmandala.com/books/revelation-and-the-book-of-job-39728
The Science of Getting Rich,Wallace D. Wattles,Rs. 395,N/A,Self Improvement And Relationships,192 Pages,220g,9789937711463,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/the-science-of-getting-rich-19578
Six Thinking Hats,Edward De Bono,Rs. 638,N/A,Self Improvement And Relationships,177 Pages,155g,9780141033051,English,"Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:, Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/six-thinking-hats-37567
Lillian Too's Book of gold,Rider,Rs. 500,N/A,Self Improvement And Relationships,371 Pages,460g,9780712602143,English,"Self Improvement and Relationships:, Lifestyle and Wellness:, Self Improvement and Relationships:, Lifestyle and Wellness:",https://booksmandala.com/books/lillian-toos-book-of-gold-5856
"Idli, Orchid and Willpower",Dr. Vithal Vankatesh Kamat,Rs. 400,N/A,Self Improvement And Relationships,210 Pages,260g,9789383359158,English,"Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/idli-orchid-and-willpower-18301
The Elemental Tarot,Caroline Smith,Rs. 3518,N/A,Self Improvement And Relationships,128 Pages,750g,9781787395947,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/the-elemental-tarot-8208
The Heart of the close,Raju Mandyan,Rs. 472,N/A,Self Improvement And Relationships,210 Pages,300g,9789386450111,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/the-heart-of-the-close-43626
Burnout,Emily Nagoski and ,Rs. 958,N/A,Self Improvement And Relationships,273 Pages,330g,9781785042089,English,"Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/burnout-34617
The Multi-Hyphen Method,Emma Gannon,Rs. 638,N/A,Self Improvement And Relationships,280 Pages,210g,9781473694750,English,"Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/the-multi-hyphen-method-29329
What did you ask at school today,Kamala V. Mukunda,Rs. 798,N/A,Self Improvement And Relationships,367 Pages,290g,9789353029760,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/what-did-you-ask-at-school-today-31323
22 things you should know about IT,C.R. Jena,Rs. 400,N/A,Self Improvement And Relationships,200 Pages,290g,9788179046999,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/22-things-you-should-know-about-it-43530
8 Minutes in the Morning to Lean Hips and Thin Thighs Kit,Jorge Cruise,Rs. 1023,N/A,Self Improvement And Relationships,777 Pages,1030g,9781401902827,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/8-minutes-in-the-morning-to-lean-hips-and-thin-thighs-kit-40000
The Ultimate Journey,Jim Stovall,Rs. 360,N/A,Self Improvement And Relationships,162 Pages,220g,9789380227948,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/the-ultimate-journey-4528
Top Performance,Zig Ziglar,Rs. 400,N/A,Self Improvement And Relationships,231 Pages,305g,9789385492556,English,"Business and Investing:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Business and Investing:, Self Improvement and Relationships:",https://booksmandala.com/books/top-performance-4562
The Amazing Power Of Deliberate Intent,Esther And Jerry Hicks,Rs. 560,N/A,Self Improvement And Relationships,303 Pages,465g,9788190416979,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/the-amazing-power-of-deliberate-intent-39689
Flawed Prophets,Tirthak Saha,Rs. 558,N/A,Self Improvement And Relationships,194 Pages,244g,9789391537371,English,"Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:, Business and Investing:",https://booksmandala.com/books/flawed-prophets-33372
You Better Not Cry,Augusten Burroughs,Rs. 638,N/A,Self Improvement And Relationships,206 Pages,270g,9781848873209,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/you-better-not-cry-39869
the return of the master,Robert Skidelsky,Rs. 880,N/A,Self Improvement And Relationships,213 Pages,390g,9781846142581,English,"Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:, Business and Investing:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/the-return-of-the-master-45280
Arthabeed,Beed Bytes,Rs. 300,N/A,Self Improvement And Relationships,172 Pages,245g,b1990,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/arthabeed-27572
Before I Go,Jane Duncan Rogers,Rs. 720,N/A,Self Improvement And Relationships,176 Pages,335g,9781844097500,English,"Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/before-i-go-5330
Think like a champion,Donald J. Trump,Rs. 1438,N/A,Self Improvement And Relationships,224 Pages,250g,9781593155711,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/think-like-a-champion-35409
The way of the white clouds,Lama Anagarika Govinda,Rs. 395,N/A,Spirituality And Philosophy,305 Pages,440g,b99,English,"Spirituality and Philosophy:, Religion:, Miscellaneous:, Spirituality and Philosophy:, Religion:, Miscellaneous:",https://booksmandala.com/books/the-way-of-the-white-clouds-3608
Sri Sri As I Know Him,Sri Sri Ravi Shankar,Rs. 318,N/A,Spirituality And Philosophy,192 Pages,280g,9789380114323,English,"Spirituality and Philosophy, Spirituality and Philosophy",https://booksmandala.com/books/sri-sri-as-i-know-him-18335
The story of my experiments with truth,Mahatma Gandhi,Rs. 280,N/A,Spirituality And Philosophy,423 Pages,385g,9788187057932,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/the-story-of-my-experiments-with-truth-10201
Karma Yoga: Yoga of Action,O. R. Krishnaswami,Rs. 1112,N/A,Spirituality And Philosophy,363 Pages,460g,9789381406540,English,"Self Improvement and Relationships:, Lifestyle and Wellness:, Spirituality and Philosophy:, Self Improvement and Relationships:, Lifestyle and Wellness:, Spirituality and Philosophy:",https://booksmandala.com/books/karma-yoga-yoga-of-action-3764
The Amazing Power Of Deliberate Intent,Esther And Jerry Hicks,Rs. 560,N/A,Spirituality And Philosophy,303 Pages,465g,9788190416979,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/the-amazing-power-of-deliberate-intent-39689
The Astrology Bible,Judy Hall,Rs. 1200,N/A,Spirituality And Philosophy,400 Pages,630g,9781841814896,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/the-astrology-bible-40326
Sparks of Divinity,B.K.S. Iyengar,Rs. 1000,N/A,Spirituality And Philosophy,256 Pages,375g,9781930485327,English,"Spirituality and Philosophy, Learning and Reference, Spirituality and Philosophy, Learning and Reference",https://booksmandala.com/books/sparks-of-divinity-22992
The Pointless Joy of Freedom,John David,Rs. 1440,N/A,Spirituality And Philosophy,300 Pages,615g,9780957462793,English,"Lifestyle and Wellness:, Spirituality and Philosophy:, Lifestyle and Wellness:, Spirituality and Philosophy:",https://booksmandala.com/books/the-pointless-joy-of-freedom-40443
Incagnita,David Eagleman,Rs. 478,N/A,Spirituality And Philosophy,290 Pages,305g,9781847679406,English,"History, Biography, and Social Science:, Spirituality and Philosophy:, Learning and Reference:, History, Biography, and Social Science:, Spirituality and Philosophy:, Learning and Reference:",https://booksmandala.com/books/incagnita-44879
Wind of the Spirit,G. De Purucker,Rs. 440,N/A,Spirituality And Philosophy,282 Pages,350g,9788177692501,English,"Spirituality and Philosophy, Spirituality and Philosophy",https://booksmandala.com/books/wind-of-the-spirit-5577
The Hare Krishna Challenge,His Divine Grace A.C. Bhaktivedanta Swami Peabhupada,Rs. 100,N/A,Spirituality And Philosophy,110 Pages,95g,9789382176534,English,"Spirituality and Philosophy, Spirituality and Philosophy",https://booksmandala.com/books/the-hare-krishna-challenge-7985
After the Cataclysm,Noam Chomsky and ,Rs. 952,N/A,Spirituality And Philosophy,488 Pages,470g,9780745335506,English,"History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:",https://booksmandala.com/books/after-the-cataclysm-29481
The Ragged Trousered Philanthropists,Lionel Kelly and ,Rs. 312,N/A,Spirituality And Philosophy,619 Pages,410g,9781840226829,English,"Fiction and Literature:, History, Biography, and Social Science:, Spirituality and Philosophy:, Fiction and Literature:, History, Biography, and Social Science:, Spirituality and Philosophy:",https://booksmandala.com/books/the-ragged-trousered-philanthropists-29611
Fundamentals Of the Esoteric Philosophy,Guttried De Purucker,Rs. 952,N/A,Spirituality And Philosophy,601 Pages,720g,9788177692532,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/fundamentals-of-the-esoteric-philosophy-2063
The Third Jesus,Chopra Deepak,Rs. 798,N/A,Spirituality And Philosophy,241 Pages,190g,9781846041129,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/the-third-jesus-27767
"Relative World, Ultimate Mind",Tai and ,Rs. 360,N/A,Spirituality And Philosophy,160 Pages,230g,9780140293036,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/relative-world-ultimate-mind-35306
quotes from sri sri,Sri Sri Ravi Shankar,Rs. 206,N/A,Spirituality And Philosophy,176 Pages,245g,9789380114057,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/quotes-from-sri-sri-26675
Excuse Me God,Sirshree,Rs. 312,N/A,Spirituality And Philosophy,228 Pages,310g,9788184950441,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/excuse-me-god-26401
Learning True Love,Sister Chang Khong,Rs. 400,N/A,Spirituality And Philosophy,280 Pages,490g,9788176211130,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:",https://booksmandala.com/books/learning-true-love-26385
Revelation and The Book of Job,Great Idea,Rs. 318,N/A,Spirituality And Philosophy,125 Pages,100g,9780141023854,English,"Self Improvement and Relationships:, Spirituality and Philosophy:, Religion:, Self Improvement and Relationships:, Spirituality and Philosophy:, Religion:",https://booksmandala.com/books/revelation-and-the-book-of-job-39728
The Festival of Insignificance,Milan Kundera,Rs. 900,N/A,Spirituality And Philosophy,128 Pages,260g,9780571316465,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/the-festival-of-insignificance-43471
The Map of Heaven,Eben Alexander and ,Rs. 638,N/A,Spirituality And Philosophy,162 Pages,230g,9780349403519,English,"Lifestyle and Wellness, Spirituality and Philosophy, Lifestyle and Wellness, Spirituality and Philosophy",https://booksmandala.com/books/the-map-of-heaven-44025
Finding our lost happiness,A. C. Bhaktivedanta Swami Prabhupāda,Rs. 300,N/A,Spirituality And Philosophy,210 Pages,180g,9789382716662,English,"Spirituality and Philosophy, Spirituality and Philosophy",https://booksmandala.com/books/finding-our-lost-happiness-28079
What Are We Doing Here?,Marilynne Robinson,Rs. 958,N/A,Spirituality And Philosophy,336 Pages,285g,9780349010441,English,"History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:",https://booksmandala.com/books/what-are-we-doing-here-31270
Ek Onkar Satnam,Osho,Rs. 600,N/A,Spirituality And Philosophy,573 Pages,755g,b5218,Hindi,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/ek-onkar-satnam-5630
The world according to Anna,Jostein Gaarder,Rs. 1118,N/A,Spirituality And Philosophy,240 Pages,330g,9780297609735,English,"Fiction and Literature:, Fiction and Literature:, Spirituality and Philosophy:, Fiction and Literature:, Fiction and Literature:, Spirituality and Philosophy:",https://booksmandala.com/books/the-world-according-to-anna-1150
Mystical stories from the Bhagavatam,Amal Bhakta,Rs. 344,N/A,Spirituality And Philosophy,286 Pages,340g,9788177691665,English,"Spirituality and Philosophy:, Religion:, Spirituality and Philosophy:, Religion:",https://booksmandala.com/books/mystical-stories-from-the-bhagavatam-26395
ENLIGHtenment,Sri Sri Ravi Shankar,Rs. 206,N/A,Spirituality And Philosophy,149 Pages,165g,9789380592763,English,"Spirituality and Philosophy, Spirituality and Philosophy",https://booksmandala.com/books/enlightenment-28029
vaastu simplified,Pt.Y.N.Maggirwar,Rs. 318,N/A,Spirituality And Philosophy,103 Pages,200g,9789382146759,English,"Spirituality and Philosophy, Spirituality and Philosophy",https://booksmandala.com/books/vaastu-simplified-45285
Chinese Astrology Bible,Derek Walters,Rs. 880,N/A,Spirituality And Philosophy,400 Pages,630g,9781841813387,English,"Lifestyle and Wellness:, Spirituality and Philosophy:, Lifestyle and Wellness:, Spirituality and Philosophy:",https://booksmandala.com/books/chinese-astrology-bible-27976
Dancing Wu Li Masters,Gary Zukav,Rs. 987,N/A,Spirituality And Philosophy,416 Pages,330g,9780060959685,English,"Spirituality and Philosophy:, Learning and Reference:, Spirituality and Philosophy:, Learning and Reference:",https://booksmandala.com/books/dancing-wu-li-masters-45301
The Essence of Zen,Sekkei Harada,Rs. 2288,N/A,Spirituality And Philosophy,164 Pages,280g,9780861715336,English,"Spirituality and Philosophy:, Religion:, Spirituality and Philosophy:, Religion:",https://booksmandala.com/books/the-essence-of-zen-36921
handbook for mankind,Buddhadasa Bhikkhu,Rs. 400,N/A,Spirituality And Philosophy,237 Pages,320g,b1509,English,"Religion:, Religion:",https://booksmandala.com/books/handbook-for-mankind-27123
Seven pioneers of phychology,Ray Fuller,Rs. 1152,N/A,Spirituality And Philosophy,162 Pages,300g,9780415099790,English,"History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, Spirituality and Philosophy:",https://booksmandala.com/books/seven-pioneers-of-phychology-48326
Yudhisthira the unfallen pandava,Mallar Chatterjee,Rs. 472,N/A,Spirituality And Philosophy,398 Pages,240g,9789385854415,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:",https://booksmandala.com/books/yudhisthira-the-unfallen-pandava-43575
Jonathan Livinston havmage,Richard Bach,Rs. 350,N/A,Spirituality And Philosophy,136 Pages,435g,9788711325520,English,"Fiction and Literature:, Self Improvement and Relationships:, Spirituality and Philosophy:, Fiction and Literature:, Self Improvement and Relationships:, Spirituality and Philosophy:",https://booksmandala.com/books/jonathan-livinston-havmage-26803
The Worlds living religions,Robert Ernest Hume,Rs. 240,N/A,Spirituality And Philosophy,312 Pages,435g,9788124201763,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/the-worlds-living-religions-26388
Mahamudra: How to Discover Our True Nature,Lama Yeshe,Rs. 2000,N/A,Spirituality And Philosophy,152 Pages,215g,9781614293958,English,"Spirituality and Philosophy:, Religion:, Spirituality and Philosophy:, Religion:",https://booksmandala.com/books/mahamudra-how-to-discover-our-true-nature-4893
Punarnava,Sri Sri Ravi Shankar,Rs. 238,N/A,Spirituality And Philosophy,114 Pages,175g,9789380114330,English,"Lifestyle and Wellness:, Lifestyle and Wellness:",https://booksmandala.com/books/punarnava-9972
English Phonology an introduction,Heinz J. Girgerich,Rs. 792,N/A,Spirituality And Philosophy,332 Pages,400g,9780521144322,English,"Spirituality and Philosophy:, Spirituality and Philosophy:",https://booksmandala.com/books/english-phonology-an-introduction-29165
Speaking Secret Codes,Sheri Bell Rehwoldt,Rs. 500,N/A,Technology,32 Pages,275g,9781429645690,English,"Technology:, Technology:",https://booksmandala.com/books/speaking-secret-codes-33517
Countdown to Zero Day,Kim Zetter,Rs. 1438,N/A,Technology,450 Pages,750g,9780770436193,English,"History, Biography, and Social Science:, Learning and Reference:, History, Biography, and Social Science:, Learning and Reference:",https://booksmandala.com/books/countdown-to-zero-day-70833
Bad Data,Georgina Sturge,Rs. 1278,N/A,Technology,273 Pages,400g,9780349128627,English,"History, Biography, and Social Science:, Technology:, History, Biography, and Social Science:, History, Biography, and Social Science:, Technology:, History, Biography, and Social Science:",https://booksmandala.com/books/bad-data-71051
Abundance,Peter H. Diamandis and ,Rs. 798,N/A,Technology,432 Pages,390g,9781451616835,English,"Business and Investing:, Learning and Reference:, Business and Investing:, Business and Investing:, Learning and Reference:, Business and Investing:",https://booksmandala.com/books/abundance-18370
The Wizard and the Prophet,Charles C. Mann,Rs. 1598,N/A,Technology,640 Pages,440g,9781509884186,English,"Learning and Reference:, History, Biography, and Social Science:, History, Biography, and Social Science:, Learning and Reference:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/the-wizard-and-the-prophet-69405
Thank You for Being Late,Thomas L.Friedman,Rs. 640,N/A,Technology,559 Pages,445g,9781250141224,English,"Business and Investing:, History, Biography, and Social Science:, History, Biography, and Social Science:, Business and Investing:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/thank-you-for-being-late-69649
Never Lost Again,Bill Kilday,Rs. 958,N/A,Technology,347 Pages,340g,9780062873316,English,"Business and Investing:, History, Biography, and Social Science:, Learning and Reference:, Business and Investing:, History, Biography, and Social Science:, Learning and Reference:",https://booksmandala.com/books/never-lost-again-4619
Ten Arguments for Deleting Your Social Media Accounts Right Now,Jaron Lanier,Rs. 958,N/A,Technology,156 Pages,140g,9781529112405,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/ten-arguments-for-deleting-your-social-media-accounts-right-now-70890
Fearless Genius,Doug Menuez,Rs. 1918,N/A,Technology,192 Pages,1190g,9781476752693,English,"Technology:, Technology:",https://booksmandala.com/books/fearless-genius-2288
In the Plex,Steven Levy,Rs. 1272,N/A,Technology,432 Pages,670g,9781416596585,English,"Business and Investing:, History, Biography, and Social Science:, History, Biography, and Social Science:, Business and Investing:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/in-the-plex-40911
